price,price_per_person,price_bucket,minimum_nights,availability_365,instant_bookable,property_type,room_type,room_type_category,accommodates,bedrooms,beds,neighbourhood_cleansed,is_central,latitude,longitude,host_is_superhost,host_experience_level,host_response_rate,host_acceptance_rate,host_since,first_review,last_review,review_scores_cleanliness,review_scores_rating,rating_category,number_of_reviews,reviews_per_month,days_since_last_review,review_scores_checkin,review_scores_communication,review_scores_location,listing_age_days,has_wifi,has_kitchen,has_ac,has_breakfast,has_elevator,has_pool
3586.0,1793.0,Standard,28,316,1,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Parthum Wan,0,13.74088,100.54102,0.0,Expert,100.0,100.0,2013-03-15,2013-06-13,2024-10-10,4.84,4.86,Excellent,125,0.89,221.0,4.87,4.93,4.96,4358,1,1,0,0,1,0
2500.0,833.3333333333334,Affordable,3,332,0,Entire condo,Entire home/apt,Entire,3,1.0,1.0,Vadhana,1,13.73595,100.58375,1.0,Expert,100.0,91.0,2012-02-19,2012-12-11,2024-09-03,4.78,4.71,Good,63,0.43,258.0,4.65,4.7,4.79,4542,1,1,1,0,1,0
12000.0,2000.0,Luxury,28,270,0,Entire villa,Entire home/apt,Entire,6,3.0,3.0,Vadhana,1,13.73668,100.56693,0.0,Expert,100.0,99.0,2012-07-18,2013-07-29,2023-04-30,4.5,4.75,Good,4,0.03,750.0,5.0,5.0,5.0,4312,1,1,1,0,0,0
720.0,360.0,Budget,30,181,0,Entire rental unit,Entire home/apt,Entire,2,1.0,1.0,Khlong San,0,13.72101,100.50378,0.0,Expert,100.0,95.0,2012-11-05,2013-01-03,2024-12-08,4.96,4.99,Excellent,98,0.67,162.0,4.97,4.99,4.78,4519,1,1,0,0,1,0
1050.0,350.0,Affordable,3,149,0,Entire guesthouse,Entire home/apt,Entire,3,1.0,2.0,Bang Sue,0,13.83148,100.52151,1.0,Expert,100.0,100.0,2011-07-15,2013-06-21,2024-12-05,4.92,5.0,Excellent,13,0.09,165.0,5.0,5.0,4.77,4350,1,1,1,0,0,1
5310.0,1327.5,Standard,2,46,0,Entire condo,Entire home/apt,Entire,4,2.0,2.0,Sathon,1,13.72027,100.52851,1.0,Expert,95.0,84.0,2013-04-28,2013-09-08,2024-10-13,4.84,4.83,Excellent,156,1.13,218.0,4.84,4.85,4.7,4271,1,1,0,0,1,0
700.0,350.0,Budget,7,358,0,Entire guesthouse,Entire home/apt,Entire,2,1.0,1.0,Bang Sue,0,13.83026,100.52082,1.0,Expert,100.0,100.0,2011-07-15,2013-02-16,2024-01-19,4.71,4.79,Good,14,0.1,486.0,4.86,4.93,3.92,4475,1,1,1,0,0,1
1500.0,375.0,Affordable,3,127,0,Entire home,Entire home/apt,Entire,4,2.0,3.0,Bang Sue,0,13.83148,100.52307,1.0,Expert,100.0,100.0,2011-07-15,2013-03-30,2024-11-11,4.75,4.87,Excellent,32,0.22,189.0,4.78,4.94,4.44,4433,1,1,1,0,0,1
2500.0,1250.0,Affordable,30,238,0,Entire rental unit,Entire home/apt,Entire,2,2.0,2.0,Sathon,1,13.71972,100.54924,1.0,Expert,90.0,100.0,2012-12-13,2013-01-04,2023-01-05,4.81,4.92,Excellent,26,0.18,865.0,4.96,4.77,4.54,4518,1,1,1,0,1,0
7225.0,1445.0,Premium,2,279,0,Entire condo,Entire home/apt,Entire,5,2.0,3.0,Khlong San,0,13.722420692443848,100.50871276855467,1.0,Expert,100.0,100.0,2012-12-26,2013-02-17,2024-12-15,4.76,4.83,Excellent,364,2.52,155.0,4.77,4.74,4.78,4474,1,1,1,0,1,0
